Prompt,Prompt_Type,Prompt_Length,HCI_Application
Tell me a joke,Declarative,14,Chatbot Interface
Good afternoon,Declarative,14,Conversational UI
Who discovered the steam engine,Interrogative,31,Knowledge Assistant
Generate code in JavaScript to handle errors,Declarative,44,Code Generator
Create a chart showing temperature changes,Declarative,42,Graph Generation
I need to understand gravity,Declarative,28,Educational Bot
Can you translate goodbye into Korean,Declarative,37,Real-Time Translation UI
Convert excuse me from English to Japanese,Declarative,42,Real-Time Translation UI
how do you say where is the bathroom in portuguese,Interrogative,50,Real-Time Translation UI
Capital of Brazil,Declarative,17,Location Services UI
Who wrote 1984,Interrogative,14,Knowledge Assistant
Give me 68 minus 24,Declarative,19,Voice Calculator
What do you think about hobbies,Interrogative,31,Chatbot Interface
I would like to exercise,Declarative,24,Chatbot Interface
Write CSS code for style a button,Declarative,33,Code Generator
How's it going,Interrogative,14,Conversational UI
thank you,Conversational,9,Conversational UI
Fix this code: if x = 10: print('hi'),Declarative,37,Code Rectification
Describe the water cycle,Declarative,24,Educational Bot
Hi there,Conversational,8,Conversational UI
Show me the library,Imperative,19,Location Services UI
Find the result of 16 plus 44,Imperative,29,Voice Calculator
Give me 31 divided by 4,Declarative,23,Voice Calculator
Graph population growth,Declarative,23,Graph Generation
Create a HTML script that a login API!!,Declarative,39,Code Generator
Fix this code: for i in range(10) print(i),Declarative,42,Code Rectification
Can you translate maybe into Japanese,Declarative,37,Real-Time Translation UI
good morning in Japanese,Conversational,24,Real-Time Translation UI
What about science,Interrogative,18,Location Services UI
please help me in Korean,Declarative,24,Real-Time Translation UI
Create a chart showing temperature changes?,Declarative,43,Graph Generation
Give me advice on career,Declarative,24,Chatbot Interface
What can you do,Interrogative,15,Conversational UI
Translate no to Chinese,Imperative,23,Real-Time Translation UI
How do you say sorry in French,Interrogative,30,Real-Time Translation UI
Define quantum mechanics,Declarative,24,Educational Bot
Teach me the water cycle,Declarative,24,Educational Bot
Who invented the telephone,Interrogative,26,Knowledge Assistant
Information on math,Declarative,19,Code Rectification
What about history,Interrogative,18,Real-Time Translation UI
goodbye in German?,Declarative,18,Real-Time Translation UI
21 to the power of 9 equals what,Declarative,32,Voice Calculator
Directions to the mall thanks,Declarative,29,Location Services UI
Plot a graph for sales data,Declarative,27,Graph Generation
How far is Paris,Interrogative,16,Location Services UI
Navigate to the train station,Declarative,29,Location Services UI
Show me Central Park,Imperative,20,Location Services UI
There's an error in try: pass except: pass,Declarative,42,Code Rectification
31 add 31 equals what?,Declarative,22,Voice Calculator
History of Greek mythology,Conversational,26,Knowledge Assistant
Code example for parse JSON in Python,Declarative,37,Code Generator
Who wrote 1984?,Interrogative,15,Knowledge Assistant
Who wrote Harry Potter,Interrogative,22,Knowledge Assistant
no in Japanese,Declarative,14,Real-Time Translation UI
Who wrote The Great Gatsby,Interrogative,26,Knowledge Assistant
What is the capital of Mexico,Interrogative,29,Location Services UI
What is the capital of Japan,Interrogative,28,Location Services UI
Create a chart showing temperature changes,Declarative,42,Graph Generation
Translate sorry to German,Imperative,25,Real-Time Translation UI
Who discovered the steam engine,Interrogative,31,Knowledge Assistant
Create a chart showing temperature changes,Declarative,42,Graph Generation
History of Greek mythology,Conversational,26,Knowledge Assistant
Plot a graph for sales data,Declarative,27,Graph Generation
Share a joke with me,Declarative,20,Chatbot Interface
Thank you,Conversational,9,Conversational UI
Fix this code: button { color red; },Declarative,36,Code Rectification
What's up,Interrogative,9,Conversational UI
I need to understand machine learning,Declarative,37,Educational Bot
Directions to the library,Declarative,25,Location Services UI
Create a HTML script that create a web page,Declarative,43,Code Generator
Fix this code: if x = 10: print('hi'),Declarative,37,Code Rectification
There's an error in fetch(url).then(res => res.json,Declarative,51,Code Rectification
How to animate an element in JavaScript,Interrogative,39,Code Generator
I need help with understanding,Declarative,30,Voice Calculator
How do you say goodbye in Spanish,Interrogative,33,Real-Time Translation UI
Create a Python script that create a web page,Declarative,45,Code Generator
Write Python code for handle errors,Declarative,35,Code Generator
I need help with research,Declarative,25,Graph Generation
Create a CSS script that sort a list,Declarative,36,Code Generator
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
good afternoon,Declarative,14,Conversational UI
Can you help me,Declarative,15,Chatbot Interface
Tell me more!!,Declarative,14,Code Generator
Give me advice on relationships,Declarative,31,Chatbot Interface
I would like to learn something new,Declarative,35,Chatbot Interface
What is the capital of Germany,Interrogative,30,Location Services UI
Code example for sort a list in JavaScript,Declarative,42,Code Generator
Visualize stock prices as pie,Declarative,29,Graph Generation
Create a chart showing population growth,Declarative,40,Graph Generation
Tell me about magnetism,Declarative,23,Educational Bot
Can you translate nice to meet you into Russian,Declarative,47,Real-Time Translation UI
Please Tell me more,Declarative,19,Chatbot Interface
Please Suggest something,Declarative,24,Chatbot Interface
Code example for a login API in CSS,Declarative,35,Code Generator
Can you translate thank you into Korean,Declarative,39,Real-Time Translation UI
Tell me more,Declarative,12,Knowledge Assistant
Help with research,Declarative,18,Conversational UI
Could you Calculate 98 divided by 43,Declarative,36,Voice Calculator
What is the capital of Italy,Interrogative,28,Location Services UI
Convert good morning from English to Portuguese,Declarative,47,Real-Time Translation UI
Write JavaScript code for create a web page,Declarative,43,Code Generator
Directions to the train station,Declarative,31,Location Services UI
I need to understand evolution,Declarative,30,Educational Bot
Tell me something,Declarative,17,Conversational UI
Who wrote Romeo and Juliet,Interrogative,26,Knowledge Assistant
Tell me something,Declarative,17,Conversational UI
Explain the solar system,Imperative,24,Educational Bot
Recommend music,Declarative,15,Chatbot Interface
Hi there!!,Conversational,10,Conversational UI
How do you say yes in Arabic,Interrogative,28,Real-Time Translation UI
Good morning,Conversational,12,Conversational UI
There's an error in button { color red; },Declarative,41,Code Rectification
How are you,Interrogative,11,Conversational UI
What's the Russian word for I love you,Interrogative,38,Real-Time Translation UI
What about technology,Interrogative,21,Educational Bot
Plot a graph for stock prices,Declarative,29,Graph Generation
What about technology,Interrogative,21,Chatbot Interface
What is electricity,Interrogative,19,Educational Bot
Convert good morning from English to Italian,Declarative,44,Real-Time Translation UI
Can you help me,Declarative,15,Chatbot Interface
Generate code in HTML to parse JSON,Declarative,35,Code Generator
Create a HTML script that style a button,Declarative,40,Code Generator
Code example for animate an element in HTML,Declarative,43,Code Generator
Compute 22 multiplied by 9,Declarative,26,Voice Calculator
How does the water cycle work,Interrogative,29,Educational Bot
Please Calculate 26 over 9,Declarative,26,Voice Calculator
Write HTML code for fetch data from API,Declarative,39,Code Generator
How to validate form in JavaScript,Interrogative,34,Code Generator
Create a chart showing user growth,Declarative,34,Graph Generation
Who discovered the internet,Interrogative,27,Knowledge Assistant
Find downtown near me,Imperative,21,Location Services UI
Solve 85 divided by 47,Imperative,22,Voice Calculator
I would like to cook,Declarative,20,Chatbot Interface
How to fetch data from API in HTML,Interrogative,34,Code Generator
Show me information about science,Imperative,33,Code Rectification
Generate code in python to fetch data from api,Declarative,46,Code Generator
Solve 23 over 31,Imperative,16,Voice Calculator
Can you help me,Declarative,15,Chatbot Interface
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
Good morning,Conversational,12,Conversational UI
Could you History of Greek mythology,Declarative,36,Knowledge Assistant
Tell me about the Industrial Revolution,Declarative,39,Knowledge Assistant
What is your name?,Interrogative,18,Conversational UI
Create a CSS script that create a web page,Declarative,42,Code Generator
Find the result of 4 over 38,Imperative,28,Voice Calculator
Goodbye,Declarative,7,Conversational UI
33 plus 23 equals what,Declarative,22,Voice Calculator
Generate code in JavaScript to create a web page,Declarative,48,Code Generator
Who wrote Romeo and Juliet,Interrogative,26,Knowledge Assistant
There's an error in for i in range(10) print(i),Declarative,47,Code Rectification
Tell me about World War II,Declarative,26,Knowledge Assistant
I need help with homework,Declarative,25,Graph Generation
Translate goodbye to Dutch,Imperative,26,Real-Time Translation UI
Tell me more,Declarative,12,Code Generator
Find the museum near me,Imperative,23,Location Services UI
Teach me cell division!!,Declarative,24,Educational Bot
Find the result of 81 squared,Imperative,29,Voice Calculator
Find the answer to that question,Imperative,32,Graph Generation
What can you do,Interrogative,15,Conversational UI
I need help with understanding,Declarative,30,Educational Bot
What's up,Interrogative,9,Conversational UI
Suggest something,Declarative,17,Chatbot Interface
I need help with learning,Declarative,25,Chatbot Interface
How do you say no in German,Interrogative,27,Real-Time Translation UI
Who discovered the computer,Interrogative,27,Knowledge Assistant
What is square root of 69,Interrogative,25,Voice Calculator
What about technology!!,Interrogative,23,Code Generator
Directions to the train station,Declarative,31,Location Services UI
Visualize population growth as pie,Declarative,34,Graph Generation
Convert yes from English to Japanese,Declarative,36,Real-Time Translation UI
What can you do,Interrogative,15,Conversational UI
Good afternoon,Declarative,14,Conversational UI
Give me 17 subtract 6 thanks,Declarative,28,Voice Calculator
Recommend music,Declarative,15,Chatbot Interface
Show me information about geography,Imperative,35,Graph Generation
Calculate 72 multiplied by 5,Imperative,28,Voice Calculator
What about history,Interrogative,18,Voice Calculator
Debug the following: button { color red; },Declarative,42,Code Rectification
Debug the following: fetch(url).then(res => res.json,Declarative,52,Code Rectification
What is the capital of Germany,Interrogative,30,Location Services UI
Define the water cycle,Declarative,22,Educational Bot
Tell me about the Renaissance,Declarative,29,Knowledge Assistant
What is the capital of India,Interrogative,28,Location Services UI
How does photosynthesis work,Interrogative,28,Educational Bot
Create a chart showing user growth,Declarative,34,Graph Generation
Visualize population growth as pie,Declarative,34,Graph Generation
Correct this JavaScript code: fetch(url).then(res => res.json,Declarative,61,Code Rectification
Define DNA,Declarative,10,Educational Bot
Information on history,Declarative,22,Location Services UI
Information on math!!,Declarative,21,Knowledge Assistant
Compute 28 over 49,Declarative,18,Voice Calculator
Code example for compute factorial in JavaScript,Declarative,48,Code Generator
History of the Titanic,Conversational,22,Knowledge Assistant
Show me information about geography!!,Imperative,37,Real-Time Translation UI
Find the result of 98 plus 4 thanks,Imperative,35,Voice Calculator
Define cell division,Declarative,20,Educational Bot
Who wrote The Great Gatsby,Interrogative,26,Knowledge Assistant
What happened in the Moon landing,Interrogative,33,Knowledge Assistant
There's an error in try: pass except: pass,Declarative,42,Code Rectification
Show me Tokyo,Imperative,13,Location Services UI
Describe machine learning,Declarative,25,Educational Bot
What about history,Interrogative,18,Knowledge Assistant
I need suggestions for a restaurant,Declarative,35,Chatbot Interface
Tell me a fun fact,Declarative,18,Chatbot Interface
What's the Korean word for sorry,Interrogative,32,Real-Time Translation UI
Solve 63 times 4,Imperative,16,Voice Calculator
Where is Paris,Interrogative,14,Location Services UI
Plot a graph for sales data please,Declarative,34,Graph Generation
Convert thank you from English to Chinese,Declarative,41,Real-Time Translation UI
What is photosynthesis,Interrogative,22,Educational Bot
Good morning,Conversational,12,Conversational UI
How far is Paris,Interrogative,16,Location Services UI
Can you help me,Declarative,15,Chatbot Interface
Help with learning,Declarative,18,Code Generator
Information on history,Declarative,22,Location Services UI
Find the answer to this problem,Imperative,31,Graph Generation
Create a chart showing stock prices,Declarative,35,Graph Generation
What is square root of 13,Interrogative,25,Voice Calculator
Where is Paris,Interrogative,14,Location Services UI
teach me democracy,Declarative,18,Educational Bot
Write HTML code for animate an element,Declarative,38,Code Generator
Where is Tokyo,Interrogative,14,Location Services UI
What is your name,Interrogative,17,Conversational UI
Tell me about blockchain,Declarative,24,Educational Bot
Solve 63 subtract 15,Imperative,20,Voice Calculator
What's the Arabic word for where is the bathroom,Interrogative,48,Real-Time Translation UI
I would like to relax,Declarative,21,Chatbot Interface
Who discovered the airplane,Interrogative,27,Knowledge Assistant
Information on science,Declarative,22,Knowledge Assistant
Good afternoon,Declarative,14,Conversational UI
What is 16 times 1,Interrogative,18,Voice Calculator
History of the Roman Empire,Conversational,27,Knowledge Assistant
When was the Cold War,Interrogative,21,Knowledge Assistant
Correct this HTML code: for i in range(10) print(i),Declarative,51,Code Rectification
What about history,Interrogative,18,Location Services UI
Translate no to Hindi?,Imperative,22,Real-Time Translation UI
What's the Japanese word for nice to meet you,Interrogative,45,Real-Time Translation UI
Tell me something,Declarative,17,Conversational UI
Where is the library,Interrogative,20,Location Services UI
Share a fun fact with me,Declarative,24,Chatbot Interface
Visualize sales data as bar,Declarative,27,Graph Generation
Visualize temperature changes as bar,Declarative,36,Graph Generation
I need suggestions for a game,Declarative,29,Chatbot Interface
Convert please help me from English to Chinese please,Declarative,53,Real-Time Translation UI
Tell me about quantum mechanics,Declarative,31,Educational Bot
I need help with understanding,Declarative,30,Conversational UI
Show me information about science,Imperative,33,Code Generator
Who wrote Romeo and Juliet,Interrogative,26,Knowledge Assistant
Plot a graph for user growth,Declarative,28,Graph Generation
Find the answer to this problem,Imperative,31,Educational Bot
Solve square root of 2,Imperative,22,Voice Calculator
What is evolution thanks,Interrogative,24,Educational Bot
Please Help with research,Declarative,25,Chatbot Interface
Visualize population growth as scatter,Declarative,38,Graph Generation
Write HTML code for sort a list,Declarative,31,Code Generator
Graph stock prices,Declarative,18,Graph Generation
Create a CSS script that a login API,Declarative,36,Code Generator
When was the Industrial Revolution,Interrogative,34,Knowledge Assistant
Nice to meet you,Declarative,16,Conversational UI
Convert maybe from English to Dutch,Declarative,35,Real-Time Translation UI
Compute 28 add 37,Declarative,17,Voice Calculator
Who discovered penicillin,Interrogative,25,Knowledge Assistant
Find the result of 91 divided by 4,Imperative,34,Voice Calculator
Fix this code: <div class='btn' onclick='alert('hi')'>!!,Declarative,56,Code Rectification
Debug the following: <div class='btn' onclick='alert('hi')'> thanks,Declarative,67,Code Rectification
Generate code in HTML to animate an element,Declarative,43,Code Generator
Convert nice to meet you from English to French,Declarative,47,Real-Time Translation UI
Information on geography,Declarative,24,Code Rectification
Capital of India!!,Declarative,18,Location Services UI
Can you translate maybe into Italian,Declarative,36,Real-Time Translation UI
Solve 21 divided by 35,Imperative,22,Voice Calculator
Find the result of 3 minus 4,Imperative,28,Voice Calculator
Compute 32 minus 46 please,Declarative,26,Voice Calculator
Create a CSS script that sort a list,Declarative,36,Code Generator
Find downtown near me,Imperative,21,Location Services UI
Correct this HTML code: button { color red; }?,Declarative,46,Code Rectification
There's an error in fetch(url).then(res => res.json thanks,Declarative,58,Code Rectification
How far is the mall,Interrogative,19,Location Services UI
Who invented the telephone,Interrogative,26,Knowledge Assistant
Create a CSS script that animate an element,Declarative,43,Code Generator
Code example for parse JSON in HTML,Declarative,35,Code Generator
Create a chart showing population growth,Declarative,40,Graph Generation
How's it going,Interrogative,14,Conversational UI
History of the Roman Empire,Conversational,27,Knowledge Assistant
When was the Cold War please,Interrogative,28,Knowledge Assistant
How's it going,Interrogative,14,Conversational UI
Create a Python script that validate form,Declarative,41,Code Generator
How far is Tokyo,Interrogative,16,Location Services UI
Convert thank you from English to Chinese,Declarative,41,Real-Time Translation UI
Graph sales data,Declarative,16,Graph Generation
sorry in French,Declarative,15,Real-Time Translation UI
Can you help me,Declarative,15,Conversational UI
goodbye in Chinese,Declarative,18,Real-Time Translation UI
What about science,Interrogative,18,Location Services UI
What is DNA,Interrogative,11,Educational Bot
What's the Arabic word for nice to meet you,Interrogative,43,Real-Time Translation UI
What's a Spanish word for good morning,Interrogative,38,Real-Time Translation UI
Generate code in CSS to style a button,Declarative,38,Code Generator
Could you Who invented the radio,Declarative,32,Knowledge Assistant
Calculate 48 add 13,Imperative,19,Voice Calculator
Hey please,Conversational,10,Conversational UI
Can you translate please help me into French,Declarative,44,Real-Time Translation UI
no in Russian,Declarative,13,Real-Time Translation UI
What is 58 squared,Interrogative,18,Voice Calculator
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Generate code in CSS to handle errors,Declarative,37,Code Generator
Create a HTML script that parse JSON,Declarative,36,Code Generator
Tell me about blockchain,Declarative,24,Educational Bot
Who wrote Romeo and Juliet,Interrogative,26,Knowledge Assistant
What happened in the Moon landing,Interrogative,33,Knowledge Assistant
Please Debug the following: try: pass except: pass,Declarative,50,Code Rectification
Good afternoon,Declarative,14,Conversational UI
Could you How do you say maybe in Chinese,Declarative,41,Real-Time Translation UI
Directions to the airport,Declarative,25,Location Services UI
there's an error in fetch(url).then(res => res.json,Declarative,51,Code Rectification
Code example for fetch data from API in Python,Declarative,46,Code Generator
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
I need suggestions for a game,Declarative,29,Chatbot Interface
What happened in the Industrial Revolution,Interrogative,42,Knowledge Assistant
How far is Times Square,Interrogative,23,Location Services UI
Define enzymes,Declarative,14,Educational Bot
Could you Graph sales data,Declarative,26,Graph Generation
Tell me more,Declarative,12,Real-Time Translation UI
How far is the mall,Interrogative,19,Location Services UI
History of the Roman Empire,Conversational,27,Knowledge Assistant
I need to understand magnetism,Declarative,30,Educational Bot
Help with research,Declarative,18,Graph Generation
How are you,Interrogative,11,Conversational UI
Can you translate goodbye into German,Declarative,37,Real-Time Translation UI
Give me 2 minus 34 please,Declarative,25,Voice Calculator
What do you think about education,Interrogative,33,Chatbot Interface
Describe the water cycle,Declarative,24,Educational Bot
Describe the water cycle,Declarative,24,Educational Bot
Code example for handle errors in HTML,Declarative,38,Code Generator
Good morning,Conversational,12,Conversational UI
Find New York near me,Imperative,21,Location Services UI
There's an error in for i in range(10) print(i),Declarative,47,Code Rectification
Calculate 61 multiplied by 13,Imperative,29,Voice Calculator
Can you help me,Declarative,15,Chatbot Interface
Write Python code for handle errors?,Declarative,36,Code Generator
Who discovered the telephone,Interrogative,28,Knowledge Assistant
What is the water cycle,Interrogative,23,Educational Bot
Compute 91 add 27,Declarative,17,Voice Calculator
please help me in Hindi,Declarative,23,Real-Time Translation UI
Share a story with me,Declarative,21,Chatbot Interface
Capital of Russia,Declarative,17,Location Services UI
Can you help me,Declarative,15,Conversational UI
Give me advice on education,Declarative,27,Chatbot Interface
Where is the beach?,Interrogative,19,Location Services UI
Convert maybe from English to Portuguese?,Declarative,41,Real-Time Translation UI
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
Translate no to Korean,Imperative,22,Real-Time Translation UI
Create a chart showing user growth,Declarative,34,Graph Generation
How's it going please,Interrogative,21,Conversational UI
What about geography,Interrogative,20,Chatbot Interface
Give me advice on career,Declarative,24,Chatbot Interface
What do you think about relationships,Interrogative,37,Chatbot Interface
Who discovered penicillin!!,Interrogative,27,Knowledge Assistant
Capital of Japan,Declarative,16,Location Services UI
tell me about the moon landing,Declarative,30,Knowledge Assistant
Graph stock prices,Declarative,18,Graph Generation
Solve 54 times 39,Imperative,17,Voice Calculator
I need help with research,Declarative,25,Location Services UI
Plot a graph for user growth,Declarative,28,Graph Generation
Calculate 13 times 34,Imperative,21,Voice Calculator
Calculate 34 divided by 14,Imperative,26,Voice Calculator
Fix this code: for i in range(10) print(i),Declarative,42,Code Rectification
Tell me about magnetism,Declarative,23,Educational Bot
Give me advice on education,Declarative,27,Chatbot Interface
Who invented the telephone,Interrogative,26,Knowledge Assistant
Share a story with me,Declarative,21,Chatbot Interface
Who wrote To Kill a Mockingbird,Interrogative,31,Knowledge Assistant
How to compute factorial in Python,Interrogative,34,Code Generator
Can you translate excuse me into Hindi,Declarative,38,Real-Time Translation UI
Can you help me,Declarative,15,Chatbot Interface
Write JavaScript code for sort a list,Declarative,37,Code Generator
excuse me in Dutch,Declarative,18,Real-Time Translation UI
Help me decide,Declarative,14,Chatbot Interface
I need to understand evolution,Declarative,30,Educational Bot
I need to understand gravity,Declarative,28,Educational Bot
Tell me more please,Declarative,19,Educational Bot
What happened in the French Revolution please,Interrogative,45,Knowledge Assistant
Graph temperature changes,Declarative,25,Graph Generation
Convert where is the bathroom from English to German,Declarative,52,Real-Time Translation UI
Information on technology,Declarative,25,Real-Time Translation UI
Recommend a movie,Declarative,17,Chatbot Interface
Could you Can you help me,Declarative,25,Conversational UI
Fix this code: fetch(url).an(res => res.json,Declarative,44,Code Rectification
Information on science,Declarative,22,Location Services UI
Visualize sales data as scatter,Declarative,31,Graph Generation
Find the beach near me,Imperative,22,Location Services UI
Facts about Greek mythology,Declarative,27,Knowledge Assistant
I would like to exercise,Declarative,24,Chatbot Interface
How to validate form in Python,Interrogative,30,Code Generator
What is 89 subtract 31,Interrogative,22,Voice Calculator
How far is Paris,Interrogative,16,Location Services UI
Solve square root of 41,Imperative,23,Voice Calculator
Directions to downtown,Declarative,22,Location Services UI
Please Nice to meet you,Declarative,23,Conversational UI
Suggest something,Declarative,17,Chatbot Interface
Generate code in JavaScript to parse JSON,Declarative,41,Code Generator
Tell me more,Declarative,12,Chatbot Interface
Create a chart showing population growth,Declarative,40,Graph Generation
Plot a graph for stock prices,Declarative,29,Graph Generation
I need help with homework,Declarative,25,Graph Generation
help me decide,Declarative,14,Chatbot Interface
I would like to exercise,Declarative,24,Chatbot Interface
Calculate 93 divided by 36,Imperative,26,Voice Calculator
What do you think about career,Interrogative,30,Chatbot Interface
Recommend a book,Declarative,16,Chatbot Interface
I need suggestions for a game,Declarative,29,Chatbot Interface
Give me advice on relationships,Declarative,31,Chatbot Interface
what is enzymes,Interrogative,15,Educational Bot
Give me 62 to the power of 37,Declarative,29,Voice Calculator
Can you translate maybe into French,Declarative,35,Real-Time Translation UI
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
How to parse JSON in CSS,Interrogative,24,Code Generator
What is machine learning,Interrogative,24,Educational Bot
That's interesting,Declarative,18,Conversational UI
Create a Python script that create a web page,Declarative,45,Code Generator
Graph user growth,Declarative,17,Graph Generation
no in Korean,Declarative,12,Real-Time Translation UI
Good afternoon,Declarative,14,Conversational UI
where is the bathroom in Hindi,Interrogative,30,Real-Time Translation UI
Find the answer to my query,Imperative,27,Voice Calculator
Translate hello to Japanese,Imperative,27,Real-Time Translation UI
Capital of Japan,Declarative,16,Location Services UI
Compute square root of 14,Declarative,25,Voice Calculator
What do you think about career,Interrogative,30,Chatbot Interface
Could you Give me 89 multiplied by 27,Declarative,37,Voice Calculator
Create a JavaScript script that style a button,Declarative,46,Code Generator
Give me 13 plus 34,Declarative,18,Voice Calculator
Can you translate nice to meet you into Dutch,Declarative,45,Real-Time Translation UI
Teach me evolution,Declarative,18,Educational Bot
Generate code in HTML to sort a list!!,Declarative,38,Code Generator
Code example for style a button in Python?,Declarative,42,Code Generator
Create a Python script that a login API,Declarative,39,Code Generator
Can you translate good morning into Chinese,Declarative,43,Real-Time Translation UI
Debug the following: button { color red; },Declarative,42,Code Rectification
Capital of Australia,Declarative,20,Location Services UI
How do you say how are you in Italian,Interrogative,37,Real-Time Translation UI
Show me the museum,Imperative,18,Location Services UI
Find the answer to my query,Imperative,27,Voice Calculator
teach me electricity,Declarative,20,Educational Bot
History of Greek mythology,Conversational,26,Knowledge Assistant
How to parse JSON in Python,Interrogative,27,Code Generator
I need suggestions for a restaurant,Declarative,35,Chatbot Interface
How does AI work,Interrogative,16,Educational Bot
Please Compute 33 over 36,Declarative,25,Voice Calculator
What's the Russian word for excuse me,Interrogative,37,Real-Time Translation UI
What is the capital of India,Interrogative,28,Location Services UI
When was the French Revolution,Interrogative,30,Knowledge Assistant
Help with learning,Declarative,18,Real-Time Translation UI
Convert good morning from English to Portuguese,Declarative,47,Real-Time Translation UI
Fix this code: button { color red; },Declarative,36,Code Rectification
Find the answer to this problem,Imperative,31,Code Rectification
Code example for a login API in Python,Declarative,38,Code Generator
Information on technology,Declarative,25,Location Services UI
Suggest something,Declarative,17,Chatbot Interface
Who invented penicillin,Interrogative,23,Knowledge Assistant
Help with understanding,Declarative,23,Real-Time Translation UI
Correct this HTML code: <div class='btn' onclick='alert('hi')'>,Declarative,63,Code Rectification
What is your name,Interrogative,17,Conversational UI
How to parse JSON in CSS,Interrogative,24,Code Generator
Plot a graph for stock prices,Declarative,29,Graph Generation
Can you help me please,Declarative,22,Chatbot Interface
Where is the train station,Interrogative,26,Location Services UI
Code example for animate an element in HTML,Declarative,43,Code Generator
What's the French word for excuse me,Interrogative,36,Real-Time Translation UI
How to sort a list in JavaScript,Interrogative,32,Code Generator
How to validate form in HTML thanks,Interrogative,35,Code Generator
What is 9 times 46,Interrogative,18,Voice Calculator
Please How to style a button in HTML,Declarative,36,Code Generator
Help me decide,Declarative,14,Chatbot Interface
Create a chart showing user growth,Declarative,34,Graph Generation
Define photosynthesis,Declarative,21,Educational Bot
I need suggestions for a restaurant,Declarative,35,Chatbot Interface
I need help with homework,Declarative,25,Educational Bot
What about technology,Interrogative,21,Graph Generation
